T_PLU_Trans_No	T_PLU_Trans_Size	T_PLU_Trans_PLUNo	T_PLU_Trans_UP	T_PLU_Trans_WT	T_PLU_Trans_QTY	T_PLU_Trans_TP	T_PLU_Trans_Date	T_PLU_Trans_Time	Traceability_Code	T_PLU_Trans_Reserve	Scale_No	Before_Price	After_Price	Item_Code	Item_Name
7661	106	89	6500.	485.	1	3153.	261014	1150	0000000000	0000000000	51	6500.	6500.	28000890000001	070C414C4153205155414C495459000000000000000000000000000000000000000000000000000000000000000000000000
7662	106	86	5400.	390.	1	2106.	261014	1306	0000000000	0000000000	51	5400.	5400.	28000860000001	070E5045524E494C205155414C49545900000000000000000000000000000000000000000000000000000000000000000000
7663	106	74	12300.	725.	1	8918.	261014	1321	0000000000	0000000000	51	12300.	12300.	28000740000001	080C544F43494E4F204341524E45000000000000000000000000000000000000000000000000000000000000000000000000
7664	106	73	10900.	1675.	1	18258.	261014	1322	0000000000	0000000000	51	10900.	10900.	28000730000001	0811434F5354494C4C4120444520434552444F00000000000000000000000000000000000000000000000000000000000000
7665	106	18	8700.	1425.	1	12398.	261014	1324	0000000000	0000000000	51	8700.	8700.	28000180000001	0813534F42524542415252494741204752554553410000000000000000000000000000000000000000000000000000000000
7666	106	72	11200.	535.	1	5992.	261014	1326	0000000000	0000000000	51	11200.	11200.	28000720000001	0810504945524E412045434F4E4F4D4943410000000000000000000000000000000000000000000000000000000000000000
7667	106	72	11200.	1005.	1	11256.	261014	1328	0000000000	0000000000	51	11200.	11200.	28000720000001	0810504945524E412045434F4E4F4D4943410000000000000000000000000000000000000000000000000000000000000000
7668	106	77	6100.	1070.	1	6527.	261014	1328	0000000000	0000000000	51	6100.	6100.	28000770000001	0808455350494E415A4F00000000000000000000000000000000000000000000000000000000000000000000000000000000
7669	106	4	13900.	495.	1	6881.	261014	1338	0000000000	0000000000	51	13900.	13900.	28000040000001	08055441424C4100000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7670	106	71	12200.	1100.	1	13420.	261014	1404	0000000000	0000000000	51	12200.	12200.	28000710000001	080F504945524E4120444520434552444F000000000000000000000000000000000000000000000000000000000000000000
7671	106	77	6100.	2435.	1	14854.	261014	1408	0000000000	0000000000	51	6100.	6100.	28000770000001	0808455350494E415A4F00000000000000000000000000000000000000000000000000000000000000000000000000000000
