idMovimiento;cantidad;codigoBarra;escala;fecha;hora;nombre;pesoVenta;plu;precioKilo;precioVenta
7661;1;28000890000001;51;2014-10-26 00:00:00;1150;ALAS QUALITY;485;89;6500;3153
7662;1;28000860000001;51;2014-10-26 00:00:00;1306;PERNIL QUALITY;390;86;5400;2106
7663;1;28000740000001;51;2014-10-26 00:00:00;1321;TOCINO CARNE;725;74;12300;8918
7664;1;28000730000001;51;2014-10-26 00:00:00;1322;COSTILLA DE CERDO;1675;73;10900;18258
7665;1;28000180000001;51;2014-10-26 00:00:00;1324;SOBREBARRIGA GRUESA;1425;18;8700;12398
7666;1;28000720000001;51;2014-10-26 00:00:00;1326;PIERNA ECONOMICA;535;72;11200;5992
7667;1;28000720000001;51;2014-10-26 00:00:00;1328;PIERNA ECONOMICA;1005;72;11200;11256
7668;1;28000770000001;51;2014-10-26 00:00:00;1328;ESPINAZO;1070;77;6100;6527
7669;1;28000040000001;51;2014-10-26 00:00:00;1338;TABLA;495;4;13900;6881
7670;1;28000710000001;51;2014-10-26 00:00:00;1404;PIERNA DE CERDO;1100;71;12200;13420
7671;1;28000770000001;51;2014-10-26 00:00:00;1408;ESPINAZO;2435;77;6100;14854
7672;1;28000050000001;51;2014-10-26 00:00:00;1416;POSTA;620;5;11900;7378
7673;1;28000730000001;51;2014-10-26 00:00:00;1424;COSTILLA DE CERDO;1070;73;10900;11663
7674;1;28000880000001;51;2014-10-26 00:00:00;1559;ALAS;480;88;6500;3120
7675;1;28000780000001;51;2014-10-26 00:00:00;1600;PEZUNA FRIJOL;475;78;4700;2233
7676;1;28000890000001;51;2014-10-26 00:00:00;1609;ALAS QUALITY;1520;89;6500;9880
7677;1;28000870000001;51;2014-10-26 00:00:00;1617;PECHUGA QUALITY;790;87;8800;6952
7678;1;28000870000001;51;2014-10-26 00:00:00;1651;PECHUGA QUALITY;905;87;8800;7964
7679;1;28000860000001;51;2014-10-26 00:00:00;1651;PERNIL QUALITY;1425;86;5400;7695
7680;1;28000870000001;51;2014-10-26 00:00:00;1701;PECHUGA QUALITY;740;87;8800;6512
7681;1;28000860000001;51;2014-10-26 00:00:00;1702;PERNIL QUALITY;500;86;5400;2700
7682;1;28000740000001;51;2014-10-26 00:00:00;1743;TOCINO CARNE;445;74;12300;5474
7683;1;28000730000001;51;2014-10-26 00:00:00;1802;COSTILLA DE CERDO;560;73;10900;6104
7684;1;28000870000001;51;2014-10-27 00:00:00;844;PECHUGA QUALITY;845;87;8800;7436
7685;1;28000860000001;51;2014-10-27 00:00:00;844;PERNIL QUALITY;435;86;5400;2349
7686;1;28000870000001;51;2014-10-27 00:00:00;911;PECHUGA QUALITY;810;87;8800;7128
7687;1;28000890000001;51;2014-10-27 00:00:00;1017;ALAS QUALITY;975;89;6500;6338
7688;1;28000870000001;51;2014-10-27 00:00:00;1019;PECHUGA QUALITY;1610;87;8800;14168
7689;1;28000860000001;51;2014-10-27 00:00:00;1045;PERNIL QUALITY;2700;86;5400;14580
7690;1;28000860000001;51;2014-10-27 00:00:00;1117;PERNIL QUALITY;1465;86;5400;7911
7691;1;28000730000001;51;2014-10-27 00:00:00;1123;COSTILLA DE CERDO;605;73;10900;6595
7692;1;28000880000001;51;2014-10-27 00:00:00;1124;ALAS;480;88;6500;3120
7693;1;28000110000001;51;2014-10-27 00:00:00;1128;CASCARA DE FREIR;575;11;11200;6440
7694;1;28000700000001;51;2014-10-27 00:00:00;1130;CAÑON;490;70;12600;6174
7695;1;28000880000001;51;2014-10-27 00:00:00;1131;ALAS;480;88;6500;3120
7696;1;28000050000001;51;2014-10-27 00:00:00;1149;POSTA;740;5;11900;8806
7697;1;28000700000001;51;2014-10-27 00:00:00;1151;CAÑON;455;70;12600;5733
7698;1;28000870000001;51;2014-10-27 00:00:00;1203;PECHUGA QUALITY;710;87;8800;6248
7699;1;28000730000001;51;2014-10-27 00:00:00;1204;COSTILLA DE CERDO;515;73;10900;5614
7700;1;28000870000001;51;2014-10-27 00:00:00;1205;PECHUGA QUALITY;2130;87;8800;18744
7701;1;28000770000001;51;2014-10-27 00:00:00;1207;ESPINAZO;160;77;6100;976
7702;1;28000110000001;51;2014-10-27 00:00:00;1210;CASCARA DE FREIR;910;11;11200;10192
7703;1;28000280000001;51;2014-10-27 00:00:00;1213;COPETE;410;28;8700;3567
7704;1;28000880000001;51;2014-10-27 00:00:00;1219;ALAS;1045;88;6500;6793
7705;1;28000880000001;51;2014-10-27 00:00:00;1219;ALAS;1045;88;6500;6793
7706;1;28000710000001;51;2014-10-27 00:00:00;1221;PIERNA DE CERDO;1055;71;12200;12871
7707;1;28000290000001;51;2014-10-27 00:00:00;1229;HIGADO;435;29;7700;3350
7708;1;28000050000001;51;2014-10-27 00:00:00;1233;POSTA;420;5;11900;4998
7709;1;28000860000001;51;2014-10-27 00:00:00;1312;PERNIL QUALITY;1355;86;5400;7317
7710;1;28000870000001;51;2014-10-27 00:00:00;1629;PECHUGA QUALITY;1395;87;8800;12276
7711;1;28000880000001;51;2014-10-27 00:00:00;1805;ALAS;3020;88;6500;19630
7712;1;28000740000001;51;2014-10-27 00:00:00;1923;TOCINO CARNE;765;74;12300;9410
7713;1;28000730000001;51;2014-10-27 00:00:00;1926;COSTILLA DE CERDO;480;73;10900;5232
7714;1;28000700000001;51;2014-10-27 00:00:00;1929;CAÑON;595;70;12600;7497
7715;1;28000700000001;51;2014-10-27 00:00:00;1930;CAÑON;435;70;12600;5481
7716;1;28000040000001;51;2014-10-27 00:00:00;1931;TABLA;420;4;13900;5838
7717;1;28000470000001;51;2014-10-27 00:00:00;1934;CHORIZO MIXTO CASERO;325;47;8900;2893
7718;1;28000770000001;51;2014-10-27 00:00:00;1935;ESPINAZO;535;77;6100;3264
7719;1;28000880000001;51;2014-10-27 00:00:00;1937;ALAS;425;88;6500;2763
7720;1;28000160000001;51;2014-10-27 00:00:00;1937;HUEVO DE SOLOMO;485;16;12500;6063
7721;1;28000160000001;51;2014-10-27 00:00:00;1941;HUEVO DE SOLOMO;915;16;12500;11438
7722;1;28000700000001;51;2014-10-27 00:00:00;1942;CAÑON;605;70;12600;7623
7723;1;28000700000001;51;2014-10-27 00:00:00;1946;CAÑON;1965;70;12600;24759
7724;1;28000700000001;51;2014-10-27 00:00:00;1949;CAÑON;1100;70;12600;13860
7725;1;28000880000001;51;2014-10-27 00:00:00;1951;ALAS;1035;88;6500;6728
7726;1;28000730000001;51;2014-10-27 00:00:00;1954;COSTILLA DE CERDO;1845;73;10900;20111
7727;1;28000890000001;51;2014-10-28 00:00:00;1212;ALAS QUALITY;560;89;6500;3640
7728;1;28000890000001;51;2014-10-28 00:00:00;1517;ALAS QUALITY;490;89;6500;3185
7729;1;28000770000001;51;2014-10-28 00:00:00;1702;ESPINAZO;485;77;6100;2959
7730;1;28000710000001;51;2014-10-28 00:00:00;1702;PIERNA DE CERDO;530;71;12200;6466
7731;1;28000020000001;51;2014-10-28 00:00:00;1716;SOLOMO REDONDO;1025;2;21200;21730
7732;1;28000080000001;51;2014-10-28 00:00:00;1740;SOLOMO EXTRANJERO;1025;8;13900;14248
7733;1;28000050000001;51;2014-10-28 00:00:00;1741;POSTA;710;5;13900;9869
7734;1;28000720000001;51;2014-10-28 00:00:00;1745;PIERNA ECONOMICA;520;72;11200;5824
7735;1;28000890000001;51;2014-10-28 00:00:00;1828;ALAS QUALITY;1120;89;6500;7280
