precioPorKilo;puntoVenta_idPuntoVenta;plu_idPlu
23200;51;1
21200;51;2
20100;51;3
13900;51;4
11900;51;5
11900;51;6
13900;51;7
13900;51;8
12500;51;9
13800;51;10
11200;51;11
7900;51;12
7900;51;14
11600;51;15
12500;51;16
11800;51;17
8700;51;18
12500;51;20
7900;51;23
8700;51;24
12500;51;25
12500;51;26
8700;51;27
8700;51;28
7700;51;29
5000;51;30
5500;51;31
4000;51;32
13900;51;37
8500;51;41
6600;51;44
2900;51;46
8900;51;47
10000;51;48
13100;51;67
12600;51;70
12200;51;71
11200;51;72
10900;51;73
12300;51;74
6500;51;75
9700;51;76
6100;51;77
4700;51;78
5100;51;79
9400;51;85
5400;51;86
8800;51;87
6500;51;88
6500;51;89
24900;51;201
13900;51;204
13900;51;205
13900;51;206
13900;51;207
13900;51;208
13900;51;215
14300;51;222
14300;51;223
15900;51;224
13100;51;225
13100;51;226
13100;51;227
13900;51;231
23100;51;232
13500;51;234
10400;51;235
9000;51;239
14000;51;245
87;51;999998
18500;52;2
20100;52;3
13900;52;4
13900;52;5
13900;52;7
13900;52;8
12500;52;9
10100;52;15
11800;52;17
10200;52;18
11600;52;19
6800;52;23
8700;52;24
12500;52;26
8700;52;28
6800;52;36
6900;52;45
14700;52;70
12200;52;71
11200;52;72
12700;52;73
10700;52;74
6200;52;79
5400;52;86
8800;52;87
6500;52;89
