idVenta;fecha;pesoVenta;plu_idPlu;puntoVenta_idPuntoVenta
7661;2014-10-26 00:00:00;485;89;51
7662;2014-10-26 00:00:00;390;86;51
7663;2014-10-26 00:00:00;725;74;51
7664;2014-10-26 00:00:00;1675;73;51
7665;2014-10-26 00:00:00;1425;18;51
7666;2014-10-26 00:00:00;535;72;51
7667;2014-10-26 00:00:00;1005;72;51
7668;2014-10-26 00:00:00;1070;77;51
7669;2014-10-26 00:00:00;495;4;51
7670;2014-10-26 00:00:00;1100;71;51
7671;2014-10-26 00:00:00;2435;77;51
7672;2014-10-26 00:00:00;620;5;51
7673;2014-10-26 00:00:00;1070;73;51
7674;2014-10-26 00:00:00;480;88;51
7675;2014-10-26 00:00:00;475;78;51
7676;2014-10-26 00:00:00;1520;89;51
7677;2014-10-26 00:00:00;790;87;51
7678;2014-10-26 00:00:00;905;87;51
7679;2014-10-26 00:00:00;1425;86;51
7680;2014-10-26 00:00:00;740;87;51
7681;2014-10-26 00:00:00;500;86;51
7682;2014-10-26 00:00:00;445;74;51
7683;2014-10-26 00:00:00;560;73;51
7684;2014-10-27 00:00:00;845;87;51
7685;2014-10-27 00:00:00;435;86;51
7686;2014-10-27 00:00:00;810;87;51
7687;2014-10-27 00:00:00;975;89;51
7688;2014-10-27 00:00:00;1610;87;51
7689;2014-10-27 00:00:00;2700;86;51
7690;2014-10-27 00:00:00;1465;86;51
7691;2014-10-27 00:00:00;605;73;51
7692;2014-10-27 00:00:00;480;88;51
7693;2014-10-27 00:00:00;575;11;51
7694;2014-10-27 00:00:00;490;70;51
7695;2014-10-27 00:00:00;480;88;51
7696;2014-10-27 00:00:00;740;5;51
7697;2014-10-27 00:00:00;455;70;51
7698;2014-10-27 00:00:00;710;87;51
7699;2014-10-27 00:00:00;515;73;51
7700;2014-10-27 00:00:00;2130;87;51
7701;2014-10-27 00:00:00;160;77;51
7702;2014-10-27 00:00:00;910;11;51
7703;2014-10-27 00:00:00;410;28;51
7704;2014-10-27 00:00:00;1045;88;51
7705;2014-10-27 00:00:00;1045;88;51
7706;2014-10-27 00:00:00;1055;71;51
7707;2014-10-27 00:00:00;435;29;51
7708;2014-10-27 00:00:00;420;5;51
7709;2014-10-27 00:00:00;1355;86;51
7710;2014-10-27 00:00:00;1395;87;51
7711;2014-10-27 00:00:00;3020;88;51
7712;2014-10-27 00:00:00;765;74;51
7713;2014-10-27 00:00:00;480;73;51
7714;2014-10-27 00:00:00;595;70;51
7715;2014-10-27 00:00:00;435;70;51
7716;2014-10-27 00:00:00;420;4;51
7717;2014-10-27 00:00:00;325;47;51
7718;2014-10-27 00:00:00;535;77;51
7719;2014-10-27 00:00:00;425;88;51
7720;2014-10-27 00:00:00;485;16;51
7721;2014-10-27 00:00:00;915;16;51
7722;2014-10-27 00:00:00;605;70;51
7723;2014-10-27 00:00:00;1965;70;51
7724;2014-10-27 00:00:00;1100;70;51
7725;2014-10-27 00:00:00;1035;88;51
7726;2014-10-27 00:00:00;1845;73;51
7727;2014-10-28 00:00:00;560;89;51
7728;2014-10-28 00:00:00;490;89;51
7729;2014-10-28 00:00:00;485;77;51
7730;2014-10-28 00:00:00;530;71;51
7731;2014-10-28 00:00:00;1025;2;51
7732;2014-10-28 00:00:00;1025;8;51
7733;2014-10-28 00:00:00;710;5;51
7734;2014-10-28 00:00:00;520;72;51
7735;2014-10-28 00:00:00;1120;89;51
7736;2014-10-28 00:00:00;1045;70;51
7737;2014-10-30 00:00:00;970;71;51
7738;2014-10-30 00:00:00;455;5;51
7739;2014-10-30 00:00:00;420;71;51
7740;2014-10-30 00:00:00;500;71;51
7741;2014-10-30 00:00:00;500;70;51
7742;2014-10-30 00:00:00;485;71;51
7743;2014-10-30 00:00:00;435;11;51
7744;2014-10-30 00:00:00;470;70;51
7745;2014-10-30 00:00:00;660;78;51
7746;2014-10-30 00:00:00;4225;2;51
7747;2014-10-30 00:00:00;510;74;51
7748;2014-10-30 00:00:00;815;71;51
7749;2014-10-30 00:00:00;675;5;51
7750;2014-10-30 00:00:00;1175;16;51
7751;2014-10-30 00:00:00;505;15;51
7752;2014-10-30 00:00:00;940;72;51
7753;2014-10-30 00:00:00;920;70;51
7754;2014-10-30 00:00:00;525;4;51
7755;2014-10-30 00:00:00;455;71;51
7756;2014-10-30 00:00:00;405;72;51
7757;2014-10-30 00:00:00;425;3;51
7758;2014-10-30 00:00:00;150;3;51
7759;2014-10-30 00:00:00;480;71;51
7760;2014-10-30 00:00:00;515;29;51
7761;2014-10-30 00:00:00;520;71;51
7762;2014-10-30 00:00:00;1565;8;51
7763;2014-10-30 00:00:00;2580;71;51
7764;2014-10-30 00:00:00;430;47;51
7765;2014-10-31 00:00:00;1085;87;51
7766;2014-10-31 00:00:00;560;89;51
7767;2014-10-31 00:00:00;1995;86;51
7768;2014-10-31 00:00:00;950;87;51
7769;2014-10-31 00:00:00;970;8;51
7770;2014-10-31 00:00:00;530;71;51
7771;2014-10-31 00:00:00;485;88;51
7772;2014-10-31 00:00:00;1000;4;51
7773;2014-10-31 00:00:00;505;72;51
7774;2014-10-31 00:00:00;535;71;51
7775;2014-10-31 00:00:00;975;89;51
7776;2014-10-31 00:00:00;980;89;51
7777;2014-10-31 00:00:00;720;89;51
7778;2014-10-31 00:00:00;2500;87;51
7779;2014-10-31 00:00:00;515;6;51
7780;2014-10-31 00:00:00;675;75;51
7781;2014-10-31 00:00:00;210;70;51
7782;2014-10-31 00:00:00;465;89;51
7783;2014-10-31 00:00:00;995;24;51
7784;2014-10-31 00:00:00;1120;24;51
7785;2014-10-31 00:00:00;2350;87;51
7786;2014-10-31 00:00:00;1545;86;51
7787;2014-10-31 00:00:00;485;29;51
7788;2014-10-31 00:00:00;1025;86;51
7789;2014-10-31 00:00:00;935;75;51
7790;2014-10-31 00:00:00;535;4;51
7791;2014-10-31 00:00:00;1005;8;51
7792;2014-10-31 00:00:00;745;70;51
7793;2014-10-31 00:00:00;485;71;51
7794;2014-10-31 00:00:00;970;86;51
7795;2014-10-31 00:00:00;1025;86;51
7796;2014-10-31 00:00:00;530;75;51
7797;2014-10-31 00:00:00;705;7;51
7798;2014-10-31 00:00:00;545;5;51
7799;2014-10-31 00:00:00;950;7;51
7800;2014-10-31 00:00:00;515;89;51
7801;2014-10-31 00:00:00;630;89;51
7802;2014-10-31 00:00:00;1025;86;51
7803;2014-10-31 00:00:00;635;88;51
7804;2014-10-31 00:00:00;1715;87;51
7805;2014-10-31 00:00:00;2990;8;51
7806;2014-10-31 00:00:00;490;74;51
7807;2014-10-31 00:00:00;525;86;51
7808;2014-10-31 00:00:00;745;74;51
7809;2014-10-31 00:00:00;750;71;51
7810;2014-10-31 00:00:00;975;4;51
7811;2014-10-31 00:00:00;920;87;51
7812;2014-10-31 00:00:00;475;78;51
7813;2014-10-31 00:00:00;885;86;51
7814;2014-10-31 00:00:00;475;70;51
7815;2014-10-31 00:00:00;485;88;51
7816;2014-10-31 00:00:00;405;48;51
7817;2014-10-31 00:00:00;1045;11;51
7818;2014-10-31 00:00:00;1000;71;51
7819;2014-10-31 00:00:00;530;74;51
7820;2014-10-31 00:00:00;530;3;51
7821;2014-10-31 00:00:00;560;29;51
7822;2014-10-31 00:00:00;445;71;51
7823;2014-10-31 00:00:00;210;2;51
7824;2014-10-31 00:00:00;2045;86;51
7825;2014-10-31 00:00:00;480;88;51
7826;2014-10-31 00:00:00;320;2;51
7827;2014-10-31 00:00:00;590;89;51
7828;2014-10-31 00:00:00;1025;71;51
7829;2014-10-31 00:00:00;525;74;51
7830;2014-10-31 00:00:00;1000;74;51
