T_PLU_Trans_No	T_PLU_Trans_Size	T_PLU_Trans_PLUNo	T_PLU_Trans_UP	T_PLU_Trans_WT	T_PLU_Trans_QTY	T_PLU_Trans_TP	T_PLU_Trans_Date	T_PLU_Trans_Time	Traceability_Code	T_PLU_Trans_Reserve	Scale_No	Before_Price	After_Price	Item_Code	Item_Name
9479	106	2	18500.	540.	1	9990.	090814	1456	0000000000	0000000000	52	18500.	18500.	28000020000001	080E534F4C4F4D4F205245444F4E444F00000000000000000000000000000000000000000000000000000000000000000000
9480	106	71	12200.	515.	1	6283.	090814	1525	0000000000	0000000000	52	12200.	12200.	28000710000001	080F504945524E4120444520434552444F000000000000000000000000000000000000000000000000000000000000000000
9481	106	2	18500.	1535.	1	28398.	090814	1544	0000000000	0000000000	52	18500.	18500.	28000020000001	080E534F4C4F4D4F205245444F4E444F00000000000000000000000000000000000000000000000000000000000000000000
9482	106	2	18500.	2030.	1	37555.	090814	1545	0000000000	0000000000	52	18500.	18500.	28000020000001	080E534F4C4F4D4F205245444F4E444F00000000000000000000000000000000000000000000000000000000000000000000
9483	106	2	18500.	2030.	1	37555.	090814	1545	0000000000	0000000000	52	18500.	18500.	28000020000001	080E534F4C4F4D4F205245444F4E444F00000000000000000000000000000000000000000000000000000000000000000000
9484	106	86	5400.	1885.	1	10179.	090814	1626	0000000000	0000000000	52	5400.	5400.	28000860000001	070E5045524E494C205155414C49545900000000000000000000000000000000000000000000000000000000000000000000
9485	106	89	6500.	1885.	1	12253.	090814	1626	0000000000	0000000000	52	6500.	6500.	28000890000001	070C414C4153205155414C495459000000000000000000000000000000000000000000000000000000000000000000000000
9486	106	71	12200.	760.	1	9272.	090814	1636	0000000000	0000000000	52	12200.	12200.	28000710000001	080F504945524E4120444520434552444F000000000000000000000000000000000000000000000000000000000000000000
9487	106	7	13900.	2145.	1	29816.	090814	1636	0000000000	0000000000	52	13900.	13900.	28000070000001	080F485545564F20444520414C44414E41000000000000000000000000000000000000000000000000000000000000000000
9488	106	79	6200.	965.	1	5983.	090814	1637	0000000000	0000000000	52	6200.	6200.	28000790000001	080E50455A554E41204341524E55444100000000000000000000000000000000000000000000000000000000000000000000
